id_transaccion;monto;divisa;fecha;tipo
C1231006815;9839.64;USD;2026-08-05;PAYMENT
C1666544295;1864.28;USD;2026-01-30;PAYMENT
C1305486145;181.0;USD;2026-12-02;TRANSFER
C840083671;181.0;USD;2026-09-17;CASH_OUT
C2048537720;11668.14;USD;2026-06-25;PAYMENT
C90045638;7817.71;USD;2026-06-10;PAYMENT
C154988899;7107.77;USD;2026-08-04;PAYMENT
C1912850431;7861.64;USD;2026-03-13;PAYMENT
C1265012928;4024.36;USD;2026-09-24;PAYMENT
C712410124;5337.77;USD;2026-08-20;DEBIT
C1900366749;9644.94;USD;2026-12-02;DEBIT
C249177573;3099.97;USD;2026-10-25;PAYMENT
C1648232591;2560.74;USD;2026-03-02;PAYMENT
C1716932897;11633.76;USD;2026-01-22;PAYMENT
C1026483832;4098.78;USD;2026-04-12;PAYMENT
C905080434;229133.94;USD;2026-09-30;CASH_OUT
C761750706;1563.82;USD;2026-10-08;PAYMENT
C1237762639;1157.86;USD;2026-02-02;PAYMENT
C2033524545;671.64;USD;2026-11-21;PAYMENT
C1670993182;215310.3;USD;2026-06-26;TRANSFER
C20804602;1373.43;USD;2026-04-01;PAYMENT
C1566511282;9302.79;USD;2026-03-20;DEBIT
C1959239586;1065.41;USD;2026-04-14;DEBIT
C504336483;3876.41;USD;2026-12-05;PAYMENT
C1984094095;311685.89;USD;2026-03-15;TRANSFER
C1043358826;6061.13;USD;2026-09-27;PAYMENT
C1671590089;9478.39;USD;2026-01-11;PAYMENT
C1053967012;8009.09;USD;2026-02-03;PAYMENT
C1632497828;8901.99;USD;2026-06-15;PAYMENT
C764826684;9920.52;USD;2026-11-07;PAYMENT
C2103763750;3448.92;USD;2026-05-26;PAYMENT
C215078753;4206.84;USD;2026-10-08;PAYMENT
C840514538;5885.56;USD;2026-07-04;PAYMENT
C1768242710;5307.88;USD;2026-01-11;PAYMENT
C247113419;5031.22;USD;2026-08-14;PAYMENT
C1238616099;24213.67;USD;2026-02-27;PAYMENT
C1608633989;8603.42;USD;2026-01-08;PAYMENT
C923341586;2791.42;USD;2026-02-23;PAYMENT
C1470868839;7413.54;USD;2026-09-15;PAYMENT
C711197015;3295.19;USD;2026-01-15;PAYMENT
C1481594086;1684.81;USD;2026-05-02;PAYMENT
C1466917878;5758.59;USD;2026-12-20;DEBIT
